Reference,Value,Footprint,X,Y,Orientation,Side
C24,1nF/C0402,C_0402_5MIL_DWS,10.236,18.908,180.0,Top
C26,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,19.888,18.527,180.0,Top
FUSE1,FSMD035-1206,FUSE-1206,18.618,43.038,180.0,Top
PWR1,HN1x2(SMD)_H-WX-1x2-LF,HN1x2(SMD)_H-WX-1x2-LF,-25.0,44.0,180.0,Bottom
R11,4.7k/R0402,R_0402_5MIL_DWS,9.474,20.432,270.0,Top
R16,10k/R0402,R_0402_5MIL_DWS,17.856,30.846,90.0,Top
R25,10k/R0402,R_0402_5MIL_DWS,15.062,42.53,90.0,Top
TVS1,GG0402052R542P,D_0402_5MIL_DWS,20.015,10.907,270.0,Top
TVS2,GG0402052R542P,D_0402_5MIL_DWS,16.459,10.907,270.0,Top
TVS3,GG0402052R542P,D_0402_5MIL_DWS,13.792,10.907,270.0,Top
TVS4,GG0402052R542P,D_0402_5MIL_DWS,7.823,10.907,270.0,Top
TVS5,GG0402052R542P,D_0402_5MIL_DWS,8.966,10.907,270.0,Top
VGA_IN1,HDR15-3.08-14.5T/VGA15/14.5mm,VGA15-F(HDR15-3.08-14.5T)_DrillSlot,15.5,1.5,0.0,Top
