Reference,Value,Footprint,X,Y,Orientation,Side
C1,4.7uF/X5R/20%/10V/C0402,C_0402_5MIL_DWS,16.332,17.892,90.0,Top
C2,4.7uF/X5R/20%/10V/C0402,C_0402_5MIL_DWS,17.602,17.892,90.0,Top
C3,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,21.666,26.782,180.0,Top
C4,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,20.523,33.513,90.0,Top
C5,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,17.348,22.083,0.0,Top
C6,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,16.84,23.861,0.0,Top
C7,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,13.03,22.21,0.0,Top
C8,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,11.506,34.783,90.0,Top
C9,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,7.95,34.783,90.0,Top
C10,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,12.776,19.67,0.0,Top
C11,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,12.141,21.067,0.0,Top
C12,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,16.586,31.862,90.0,Top
C13,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,15.316,31.862,90.0,Top
C14,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,5.537,33.386,90.0,Top
C15,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,4.394,22.464,180.0,Top
C16,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,18.237,25.766,0.0,Top
C17,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,3.505,26.401,180.0,Top
C18,33pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,4.775,31.354,90.0,Top
C19,33pF/50V/5%/C0G/C0402,C_0402_5MIL_DWS,4.775,29.195,270.0,Top
C20,47nF/50V/10%/X7R/C0402,C_0402_5MIL_DWS,14.935,19.797,90.0,Top
C21,47nF/50V/10%/X7R/C0402,C_0402_5MIL_DWS,10.617,20.432,90.0,Top
C22,47nF/50V/10%/X7R/C0402,C_0402_5MIL_DWS,8.331,20.432,90.0,Top
C23,100nF/10V/20%/X5R/C0402,C_0402_5MIL_DWS,16.586,29.83,90.0,Top
C29,22uF/6.3V/20%/X5R/C0603,C_0603_5MIL_DWS,20.65,23.734,90.0,Top
D1,CH213K(SOT23-3),SOT23-3,17.348,39.736,90.0,Top
FID1,Fiducial,Fiducial1x3,5.537,10.272,0.0,Top
FID2,Fiducial,Fiducial1x3,29.413,46.213,0.0,Top
FID3,Fiducial,Fiducial1x3_Paste,29.5,10.5,0.0,Top
HDMI_OUT1,HDMI-SWM-19,HDMI-SWM-19_Paste,8.3,51.75,0.0,Top
L3, IND/600OHM/2A/UPZ2012E-601-2R0TF/L0805,L_0805_5MIL_DWS,18.491,20.305,180.0,Top
L4, IND/600OHM/2A/UPZ2012E-601-2R0TF/L0805,L_0805_5MIL_DWS,13.157,17.892,180.0,Top
LED_HDMI1,LED/RED/0603,LED_0603_KA,23.063,42.784,0.0,Top
LED_PWR1,LED/RED/0603,LED_0603_KA,2.489,37.958,0.0,Top
LED_VGA1,LED/RED/0603,LED_0603_KA,2.489,10.145,0.0,Top
Q1,Q24.576MHz/20pF/20ppm/2P/5x3.2mm,HCX-4S_2Pins_5.0x3.2mm_TEST,2.362,31.735,270.0,Top
R1,10k/R0402,R_0402_5MIL_DWS,16.84,15.225,0.0,Top
R2,5.1k/1%/R0402,R_0402_5MIL_DWS,18.999,45.705,90.0,Top
R3,10k/R0402,R_0402_5MIL_DWS,19.888,15.225,0.0,Top
R4,5.1k/1%/R0402,R_0402_5MIL_DWS,17.729,45.705,90.0,Top
R5,10k/R0402,R_0402_5MIL_DWS,16.84,16.241,0.0,Top
R6,10k/R0402,R_0402_5MIL_DWS,19.888,16.241,0.0,Top
R7,1k/1%/R0402,R_0402_5MIL_DWS,13.792,34.783,270.0,Top
R8,2.2k/R0402,R_0402_5MIL_DWS,4.902,20.178,90.0,Top
R9,2.2k/R0402,R_0402_5MIL_DWS,22.301,41.26,180.0,Top
R10,2.2k/R0402,R_0402_5MIL_DWS,2.362,36.434,180.0,Top
R12,75R/1%/R0402,R_0402_5MIL_DWS,4.14,23.48,180.0,Top
R13,75R/1%/R0402,R_0402_5MIL_DWS,4.14,24.496,180.0,Top
